constraint_threshold,environment_steps,num_seeds,long_run_average_reward_mean,long_run_average_reward_std,long_run_average_global_cost_mean,long_run_average_global_cost_std,constraint_violation_mean,constraint_violation_std
0.0,5056,20,5.01906447784811,0.029648903512427133,0.31122231012658197,0.0018268337000859065,0.31122231012658197,0.0018268337000859065
0.0,5120,20,5.014591796875007,0.028994811218668076,0.30982812499999973,0.001803884087943116,0.30982812499999973,0.001803884087943116
0.0,5184,20,5.010094521604946,0.028533819360159043,0.30845871913580214,0.001785681008240173,0.30845871913580214,0.001785681008240173
0.0,5248,20,5.0055278201219595,0.029171840811873993,0.3071017530487802,0.0018370038975946735,0.3071017530487802,0.0018370038975946735
0.0,5312,20,5.001121987951816,0.029224938915833425,0.3058113704819273,0.0018148713205152177,0.3058113704819273,0.0018148713205152177
0.0,5376,20,4.996988467261914,0.02882349743542636,0.30455171130952347,0.0017932657095567053,0.30455171130952347,0.0017932657095567053
0.0,5440,20,4.992735294117655,0.028377586463524396,0.3033088235294114,0.001768569606082007,0.3033088235294114,0.001768569606082007
0.0,5504,20,4.988105014534893,0.02822175924952602,0.3021075581395345,0.0017480048432205902,0.3021075581395345,0.0017480048432205902
0.0,5568,20,4.983827227011502,0.02809091742925796,0.3009303160919537,0.0017229738946513756,0.3009303160919537,0.0017229738946513756
0.0,5632,20,4.979586292613645,0.02785445644881457,0.2997780539772724,0.0017063893835043377,0.2997780539772724,0.0017063893835043377
0.0,5696,20,4.975115870786525,0.0274739486089837,0.2985990168539323,0.001676331120417706,0.2985990168539323,0.001676331120417706
0.0,5760,20,4.971324652777786,0.02720277099456932,0.29749999999999965,0.0016572360505252418,0.29749999999999965,0.0016572360505252418
0.0,5824,20,4.967494848901107,0.026933559898032373,0.29641826923076886,0.0016332260174936255,0.29641826923076886,0.0016332260174936255
0.0,5888,20,4.963639605978269,0.02671395171831145,0.29534986413043446,0.0016114976733312225,0.29534986413043446,0.0016114976733312225
0.0,5952,20,4.959900873655922,0.026262505079970102,0.29432123655913944,0.0015965795833762452,0.29432123655913944,0.0015965795833762452
0.0,6016,20,4.956110372340434,0.026084083787328686,0.29331283244680817,0.0015773287336278252,0.29331283244680817,0.0015773287336278252
0.0,6080,20,4.952559210526323,0.02593596285035629,0.29232236842105236,0.0015590647833284403,0.29232236842105236,0.0015590647833284403
0.0,6144,20,4.948619791666675,0.025702376324160423,0.29134277343749965,0.0015273649447835817,0.29134277343749965,0.0015273649447835817
0.0,6208,20,4.944930734536092,0.025500639362335466,0.2903914304123708,0.0015126279039854266,0.2903914304123708,0.0015126279039854266
0.0,6272,20,4.941168686224499,0.025133410875553593,0.2894483418367343,0.0014920573317021148,0.2894483418367343,0.0014920573317021148
0.0,6336,20,4.937607323232332,0.024435407593975996,0.2885258838383835,0.0014727163340392038,0.2885258838383835,0.0014727163340392038
0.0,6400,20,4.934017187500008,0.02410518023901632,0.28763593749999966,0.0014615941037848888,0.28763593749999966,0.0014615941037848888
0.0,6464,20,4.93058941831684,0.02382505558928835,0.2867574257425739,0.0014501536596020475,0.2867574257425739,0.0014501536596020475
0.0,6528,20,4.926954656862753,0.02341911163503774,0.2858946078431369,0.0014409414615978082,0.2858946078431369,0.0014409414615978082
0.0,6592,20,4.923439016990299,0.023568254240360548,0.2850455097087375,0.0014367075399516645,0.2850455097087375,0.0014367075399516645
0.0,6656,20,4.920165264423085,0.023175577223013985,0.2842262620192304,0.001424211489958356,0.2842262620192304,0.001424211489958356
0.0,6720,20,4.916915178571435,0.02309379267038889,0.28338690476190437,0.0014035065516731927,0.28338690476190437,0.0014035065516731927
0.0,6784,20,4.913396226415101,0.023175382881922054,0.28256928066037695,0.0013976940667971142,0.28256928066037695,0.0013976940667971142
0.0,6848,20,4.910029205607484,0.022719309181252,0.28177570093457904,0.0013707047567022956,0.28177570093457904,0.0013707047567022956
0.0,6912,20,4.90679253472223,0.022680137343698243,0.28100115740740705,0.001350172915356831,0.28100115740740705,0.001350172915356831
0.0,6976,20,4.903701261467896,0.022451043267928027,0.280240825688073,0.0013370546564924984,0.280240825688073,0.0013370546564924984
0.0,7040,20,4.90073011363637,0.022543814054077977,0.2794943181818178,0.0013230708707116247,0.2794943181818178,0.0013230708707116247
0.0,7104,20,4.8975112612612675,0.022648684861928645,0.2787598536036032,0.001306636184418185,0.2787598536036032,0.001306636184418185
0.0,7168,20,4.894296875000006,0.0221618447878848,0.2780217633928568,0.0012805095866874204,0.2780217633928568,0.0012805095866874204
0.0,7232,20,4.890807522123899,0.022020172033238684,0.27726908185840676,0.0012650242863585443,0.27726908185840676,0.0012650242863585443
0.0,7296,20,4.887527412280709,0.02164577901137526,0.2765254934210522,0.0012247270478498353,0.2765254934210522,0.0012247270478498353
0.0,7360,20,4.883826086956526,0.021380029311377773,0.27575679347826054,0.001201943520801852,0.27575679347826054,0.001201943520801852
