dual_update,environment_steps,constraint_threshold,seed,window_mean_reward,window_global_cost,window_constraint_violation,dual_before_mean,dual_after_mean,dual_disagreement,local_cost_estimate_A1,global_cost_estimate_A1,dual_before_A1,dual_after_A1,local_cost_estimate_A2,global_cost_estimate_A2,dual_before_A2,dual_after_A2,local_cost_estimate_A3,global_cost_estimate_A3,dual_before_A3,dual_after_A3,local_cost_estimate_A4,global_cost_estimate_A4,dual_before_A4,dual_after_A4
1,64,1.0,1010,3.537499999999997,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,0.49999999999999983,0.0,0.0,0.11250000000000003,0.49999999999999983,0.0,0.0,0.20624999999999993,0.49999999999999983,0.0,0.0,0.18124999999999986,0.49999999999999983,0.0,0.0
1,64,1.0,1011,5.406249999999996,0.8937500000000007,0.0,0.0,0.0,0.0,0.0,0.8937500000000004,0.0,0.0,0.28125,0.8937500000000004,0.0,0.0,0.4593750000000004,0.8937500000000004,0.0,0.0,0.15312499999999996,0.8937500000000004,0.0,0.0
1,64,1.0,1012,5.684374999999995,1.028125000000001,0.028125000000001066,0.0,0.007031250000000114,5.551115123125783e-17,0.0,1.0281250000000004,0.0,0.0070312500000001,0.3124999999999999,1.0281250000000004,0.0,0.0070312500000001,0.5531250000000006,1.0281250000000004,0.0,0.0070312500000001,0.16249999999999992,1.0281250000000006,0.0,0.007031250000000155
1,64,1.0,1013,4.346875,0.7031249999999996,0.0,0.0,0.0,0.0,0.0,0.7031250000000003,0.0,0.0,0.0,0.7031250000000003,0.0,0.0,0.5125000000000005,0.7031250000000003,0.0,0.0,0.19062499999999982,0.7031250000000003,0.0,0.0
1,64,1.0,1014,5.040624999999996,0.893750000000001,0.0,0.0,0.0,0.0,0.0,0.8937500000000007,0.0,0.0,0.20000000000000012,0.8937500000000007,0.0,0.0,0.5531250000000006,0.8937500000000007,0.0,0.0,0.140625,0.8937500000000007,0.0,0.0
1,64,1.0,1015,6.043749999999994,1.043750000000001,0.043750000000001066,0.0,0.0109375000000001,0.0,0.0,1.0437500000000004,0.0,0.0109375000000001,0.3062499999999999,1.0437500000000004,0.0,0.0109375000000001,0.5593750000000006,1.0437500000000004,0.0,0.0109375000000001,0.17812499999999987,1.0437500000000004,0.0,0.0109375000000001
1,64,1.0,1016,4.1,0.6468749999999998,0.0,0.0,0.0,0.0,0.0,0.6468750000000003,0.0,0.0,0.0,0.6468750000000003,0.0,0.0,0.47812500000000047,0.6468750000000003,0.0,0.0,0.1687499999999999,0.6468750000000003,0.0,0.0
1,64,1.0,1017,5.968749999999995,1.006250000000001,0.006250000000000977,0.0,0.0015625000000000777,0.0,0.0,1.0062500000000003,0.0,0.0015625000000000777,0.29374999999999996,1.0062500000000003,0.0,0.0015625000000000777,0.5125000000000005,1.0062500000000003,0.0,0.0015625000000000777,0.1999999999999998,1.0062500000000003,0.0,0.0015625000000000777
1,64,1.0,1018,6.059374999999995,1.0000000000000009,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.3874999999999996,0.9999999999999999,0.0,0.0,0.4406250000000004,0.9999999999999999,0.0,0.0,0.1718749999999999,0.9999999999999999,0.0,0.0
1,64,1.0,1019,5.903124999999994,0.996875000000001,0.0,0.0,0.0,0.0,0.0,0.9968750000000004,0.0,0.0,0.28125,0.9968750000000004,0.0,0.0,0.5343750000000006,0.9968750000000004,0.0,0.0,0.18124999999999986,0.9968750000000004,0.0,0.0
2,128,1.0,1000,7.137499999999992,1.2000000000000015,0.2000000000000015,0.040625000000000064,0.09062500000000011,5.551115123125783e-17,0.0,1.2000000000000002,0.04062500000000008,0.09062500000000012,0.3999999999999996,1.2000000000000002,0.04062500000000008,0.09062500000000012,0.6000000000000008,1.2000000000000002,0.04062500000000008,0.09062500000000012,0.1999999999999998,1.2000000000000002,0.04062500000000002,0.09062500000000007
2,128,1.0,1001,5.712499999999996,0.9437500000000012,0.0,0.0,0.0,0.0,0.0,0.9437500000000005,0.0,0.0,0.14375000000000004,0.9437500000000005,0.0,0.0,0.6000000000000008,0.9437500000000005,0.0,0.0,0.1999999999999998,0.9437500000000005,0.0,0.0
2,128,1.0,1002,4.0,0.6000000000000008,0.0,0.0,0.0,0.0,0.0,0.5999999999999994,0.0,0.0,0.3999999999999996,0.5999999999999994,0.0,0.0,0.0,0.5999999999999994,0.0,0.0,0.1999999999999998,0.5999999999999994,0.0,0.0
2,128,1.0,1003,7.059374999999993,1.2000000000000015,0.2000000000000015,0.020312500000000025,0.07031250000000007,5.551115123125783e-17,0.0,1.2000000000000002,0.02031250000000001,0.07031250000000006,0.3999999999999996,1.2000000000000002,0.02031250000000001,0.07031250000000006,0.6000000000000008,1.2000000000000002,0.02031250000000001,0.07031250000000006,0.1999999999999998,1.2000000000000002,0.020312500000000067,0.07031250000000011
2,128,1.0,1004,7.153124999999992,1.2000000000000015,0.2000000000000015,0.017968750000000033,0.06796875000000008,0.0,0.0,1.2000000000000002,0.017968750000000033,0.06796875000000008,0.3999999999999996,1.2000000000000002,0.017968750000000033,0.06796875000000008,0.6000000000000008,1.2000000000000002,0.017968750000000033,0.06796875000000008,0.1999999999999998,1.2000000000000002,0.017968750000000033,0.06796875000000008
2,128,1.0,1005,7.137499999999992,1.2000000000000015,0.2000000000000015,0.005468750000000133,0.05546875000000018,0.0,0.0,1.2000000000000002,0.005468750000000133,0.05546875000000018,0.3999999999999996,1.2000000000000002,0.005468750000000133,0.05546875000000018,0.6000000000000008,1.2000000000000002,0.005468750000000133,0.05546875000000018,0.1999999999999998,1.2000000000000002,0.005468750000000133,0.05546875000000018
2,128,1.0,1006,7.153124999999992,1.2000000000000015,0.2000000000000015,0.0,0.050000000000000044,0.0,0.0,1.2000000000000002,0.0,0.050000000000000044,0.3999999999999996,1.2000000000000002,0.0,0.050000000000000044,0.6000000000000008,1.2000000000000002,0.0,0.050000000000000044,0.1999999999999998,1.2000000000000002,0.0,0.050000000000000044
2,128,1.0,1007,7.106249999999993,1.2000000000000015,0.2000000000000015,0.008593750000000067,0.05859375000000011,0.0,0.0,1.2000000000000002,0.008593750000000067,0.05859375000000011,0.3999999999999996,1.2000000000000002,0.008593750000000067,0.05859375000000011,0.6000000000000008,1.2000000000000002,0.008593750000000067,0.05859375000000011,0.1999999999999998,1.2000000000000002,0.008593750000000067,0.05859375000000011
2,128,1.0,1008,7.168749999999992,1.2000000000000015,0.2000000000000015,0.024218750000000067,0.07421875000000011,0.0,0.0,1.2000000000000002,0.024218750000000067,0.07421875000000011,0.3999999999999996,1.2000000000000002,0.024218750000000067,0.07421875000000011,0.6000000000000008,1.2000000000000002,0.024218750000000067,0.07421875000000011,0.1999999999999998,1.2000000000000002,0.024218750000000067,0.07421875000000011
